variable,missing_rate
Antiipnt,0.9273743016759777
Aura,0.9162011173184358
Hypertension,0.8938547486033519
Psycopathological,0.8268156424581006
Sleep_Disorders,0.8044692737430168
SSRISNRI,0.6983240223463687
DETOXPRE,0.6927374301675978
BMI,0.5698324022346368
HEIGTH,0.5642458100558659
FAMILIARITY,0.5251396648044693
PAIN_MOVMENT,0.5251396648044693
WEIGTH,0.5195530726256983
SIDE,0.5195530726256983
PULSATING,0.5195530726256983
Botulin,0.5139664804469274
Caant,0.49162011173184356
Bbloc,0.4748603351955307
Tricyclic,0.4245810055865922
T0_SYMPT_TREATMENT,0.39664804469273746
Antiepil,0.39664804469273746
Pizotifene,0.3407821229050279
PREV_T0,0.27932960893854747
INT_T0,0.21787709497206703
AGE_OF_ONSET,0.061452513966480445
AGE_W_CHRONICMIGRAINE,0.061452513966480445
SUBJECT_ID,0
AGE,0
SEX,0
DIAGNOSIS,0
Suspension,0
MONTHS_OF_TREAT,0
TREATMENT_DISC,0
NUM_TRAT,0
ANTIBODY,0
GGCEF_T0,0
