CYCLE,MONTH,n_MMDs,mean_MMDs,se_MMDs,n_HIT6,mean_HIT6,se_HIT6
1,1,179,23.43016759776536,0.454918823518924,140,67.96428571428571,0.5049000098709637
1,3,179,13.083798882681565,0.6998960398953687,139,59.86330935251799,0.7001200009485334
1,6,161,11.503105590062113,0.7549075579745838,124,55.983870967741936,0.8144047904626585
1,9,139,11.39568345323741,0.7232252846297649,105,54.06666666666667,0.8797962912183219
1,12,132,10.530303030303031,0.6984202287030353,98,33.173469387755105,2.5837548418392093
2,1,81,18.049382716049383,0.7005071431346618,115,63.76521739130435,0.8199765986858802
2,3,93,9.451612903225806,0.6525234451198691,115,58.56521739130435,0.6860415461310939
2,6,88,8.647727272727273,0.6348960069050104,112,55.482142857142854,0.7907710651958761
2,9,79,8.860759493670885,0.7264051570547785,109,55.27522935779817,0.807486163421431
2,12,88,9.261363636363637,0.7313502060380842,109,55.53211009174312,0.773934966609941
3,1,79,15.025316455696203,0.729134660168905,79,61.91139240506329,0.8307209699403547
3,3,79,8.873417721518987,0.6957391275904845,78,55.243589743589745,1.0574861805826004
3,6,78,8.282051282051283,0.6979579738774959,78,52.97435897435897,1.2759428237850436
3,9,78,7.987179487179487,0.6165368971135148,78,48.6025641025641,1.9763284242477068
3,12,78,7.666666666666667,0.5968243931001448,78,48.94871794871795,1.903595406022329
